DisseminationArea,Primary Cluster,Secondary Cluster
35202110,A,3
35202111,B,3
35202112,B,1
35202113,B,1
35202114,B,1
35202115,B,3
35202116,B,3
35202117,B,1
35202118,B,1
35202119,A,1
35202120,B,1
35202121,C,1
35202122,B,3
35202123,B,1
35202124,B,3
35202125,C,4
35202126,B,3
35202127,B,3
35202128,B,3
35202129,B,2
35202130,C,4
35202131,C,3
35202132,A,3
35202133,B,1
35202134,B,3
35202135,C,3
35202136,C,3
35202137,C,3
35202138,C,4
35202139,C,4
35202140,C,4
35202141,D,1
35202145,C,2
35202147,A,3
35202149,B,1
35202150,B,1
35202151,C,4
35202152,C,3
35202153,C,1
35202154,C,2
35202155,C,4
35202156,B,3
35202157,B,1
35202158,B,3
35202159,D,1
35202160,B,1
35202161,C,4
35202162,C,4
35202163,C,2
35202164,C,2
35202165,A,1
35202166,C,2
35202167,C,2
35202168,C,3
35202169,A,1
35202170,C,2
35202171,C,2
35202172,C,2
35202173,A,1
35202174,B,1
35202175,C,4
35202176,B,1
35202177,C,2
35202178,C,4
35202179,A,1
35202180,C,3
35202181,C,3
35202183,B,1
35202184,C,2
35202185,C,2
35202186,B,1
35202187,C,4
35202188,C,4
35202189,C,2
35202210,B,3
35202211,C,4
35202212,C,2
35202213,C,2
35202214,C,4
35202215,C,2
35202216,C,2
35202217,C,4
35202218,C,4
35202222,C,2
35202223,C,2
35202224,B,1
35202225,D,1
35202226,C,2
35202227,D,1
35202228,B,1
35202229,C,2
35202230,C,2
35202231,C,2
35202232,C,2
35202233,C,1
35202234,C,2
35202235,C,2
35202236,C,2
35202237,C,4
35202238,A,1
35202239,C,4
35202240,C,2
35202241,A,1
35202242,A,3
35202243,C,2
35202244,C,2
35202245,A,1
35202246,C,2
35202247,A,1
35202248,C,2
35202249,A,2
35202251,C,2
35202252,A,2
35202254,B,3
35202255,B,1
35202256,B,3
35202257,A,2
35202258,B,1
35202261,B,3
35202262,C,3
35202263,A,2
35202264,A,3
35202265,A,3
35202266,A,2
35202267,D,1
35202268,B,1
35202269,B,3
35202270,A,3
35202271,B,3
35202272,B,3
35202273,B,1
35202274,A,3
35202275,C,3
35202276,B,3
35202277,B,1
35202278,C,1
35202279,C,3
35202280,A,1
35202281,A,2
35202282,C,4
35202283,C,4
35202284,C,4
35202285,C,3
35202286,B,1
35202287,B,1
35202288,C,2
35202289,C,2
35202290,A,1
35202293,C,4
35202294,B,1
35202295,D,1
35202296,C,4
35202297,D,1
35202298,B,1
35202299,C,2
35202300,C,4
35202301,C,4
35202302,B,3
35202303,B,3
35202304,B,3
35202305,B,1
35202306,B,1
35202307,B,1
35202309,B,3
35202310,D,1
35202311,C,2
35202316,A,3
35202321,C,4
35202322,B,1
35202323,B,3
35202324,B,3
35202325,B,3
35202326,B,3
35202327,B,3
35202328,B,3
35202336,B,3
35202337,B,1
35202338,B,1
35202339,B,1
35202340,B,1
35202341,B,3
35202342,B,1
35202343,B,1
35202344,B,1
35202345,A,2
35202346,A,3
35202347,A,2
35202348,B,3
35202349,B,3
35202350,B,1
35202351,B,3
35202352,B,3
35202353,B,3
35202354,B,3
35202355,B,1
35202356,B,3
35202357,B,3
35202358,B,3
35202359,B,1
35202360,B,3
35202361,B,3
35202362,A,2
35202363,B,3
35202364,B,3
35202365,B,3
35202366,B,3
35202367,B,3
35202368,B,3
35202369,B,3
35202370,B,3
35202371,B,3
35202372,B,3
35202373,D,1
35202374,D,1
